algorithm,target_update_interval,seed,training_step,q_upper,Mean_Q,Mean_Excess,Mean_Violtaing_Excess,Mean_Over_Violation_Rate,Mean_Under_Violtaion_Rate
DDQN,50,10,84000,100,131.44252,39.537315,48.077194,0.8223715415019763,0.004071146245059288
DDQN,50,10,85000,100,132.41002,39.678356,47.1225,0.8420256916996047,0.003873517786561265
DDQN,50,10,86000,100,131.64809,38.728725,45.505543,0.8510770750988143,0.004387351778656127
DDQN,50,10,87000,100,130.06927,37.052353,43.632088,0.849199604743083,0.004258893280632411
DDQN,50,10,88000,100,130.62811,37.145348,42.400112,0.8760671936758894,0.003567193675889328
DDQN,50,10,89000,100,130.08253,36.76464,41.862614,0.8782213438735178,0.003863636363636364
DDQN,50,10,90000,100,131.5788,38.027985,43.22624,0.8797430830039525,0.003132411067193676
DDQN,50,10,91000,100,133.95801,40.536755,46.07432,0.8798122529644269,0.0036363636363636364
DDQN,50,10,92000,100,140.8876,47.33678,53.8069,0.8797529644268774,0.003735177865612648
DDQN,50,10,93000,100,147.6073,54.008793,61.545017,0.8775494071146245,0.0038932806324110674
DDQN,50,10,94000,100,152.39575,58.652306,66.81767,0.877796442687747,0.003606719367588933
DDQN,50,10,95000,100,158.12871,64.45576,73.91414,0.8720355731225297,0.0026778656126482214
DDQN,50,10,96000,100,157.56955,63.888527,73.75425,0.8662351778656127,0.0019268774703557312
DDQN,50,10,97000,100,155.96928,62.06729,71.882195,0.8634584980237154,0.001650197628458498
DDQN,50,10,98000,100,152.02974,58.27072,67.91037,0.8580533596837945,0.001857707509881423
DDQN,50,10,99000,100,148.44571,54.438904,63.37678,0.8589723320158102,0.0017193675889328062
DDQN,50,10,100000,100,146.27466,51.66326,60.150967,0.8588932806324111,0.001284584980237154
DDQN,50,11,1000,100,-0.06957309,0.0,,0.0,1.0
DDQN,50,11,2000,100,16.544392,0.0,,0.0,0.0
DDQN,50,11,3000,100,32.84069,0.0,,0.0,0.0009486166007905138
DDQN,50,11,4000,100,45.883163,0.0,,0.0,0.04076086956521739
DDQN,50,11,5000,100,65.34226,0.010983507,3.7936208,0.0028952569169960474,0.08105731225296443
DDQN,50,11,6000,100,90.84415,11.818303,16.271612,0.7263142292490119,0.0874209486166008
DDQN,50,11,7000,100,130.2533,45.60646,52.257404,0.8727272727272727,0.041284584980237155
DDQN,50,11,8000,100,176.9701,91.92625,95.33455,0.9642490118577075,0.015059288537549407
DDQN,50,11,9000,100,224.93828,143.21344,145.54329,0.9839920948616601,0.01308300395256917
DDQN,50,11,10000,100,280.667,203.26575,204.68561,0.9930632411067194,0.009229249011857708
DDQN,50,11,11000,100,345.1042,271.79584,273.14536,0.9950592885375494,0.008181818181818182
DDQN,50,11,12000,100,419.9045,352.30057,353.34802,0.9970355731225297,0.006936758893280632
DDQN,50,11,13000,100,499.82468,436.94244,437.87268,0.9978754940711463,0.005563241106719368
DDQN,50,11,14000,100,594.90076,537.5535,538.3035,0.9986067193675889,0.003942687747035573
DDQN,50,11,15000,100,681.21326,630.0329,630.8121,0.9987648221343873,0.0042292490118577076
DDQN,50,11,16000,100,771.61676,726.23444,727.111,0.998794466403162,0.004901185770750988
DDQN,50,11,17000,100,884.3952,846.1221,846.959,0.9990118577075099,0.00475296442687747
DDQN,50,11,18000,100,979.32935,945.7068,946.9325,0.9987055335968379,0.005533596837944664
DDQN,50,11,19000,100,1093.5961,1067.0748,1068.0669,0.9990711462450593,0.004713438735177866
DDQN,50,11,20000,100,1219.0402,1199.2738,1200.2938,0.9991501976284585,0.004594861660079052
DDQN,50,11,21000,100,1320.7015,1306.2974,1307.874,0.998794466403162,0.006304347826086957
DDQN,50,11,22000,100,1442.2137,1431.0723,1433.1967,0.9985177865612648,0.00783596837944664
DDQN,50,11,23000,100,1548.923,1542.8708,1545.6505,0.998201581027668,0.010484189723320159
DDQN,50,11,24000,100,1641.4774,1639.1735,1642.5006,0.9979743083003952,0.012282608695652173
DDQN,50,11,25000,100,1768.08,1770.3488,1772.8188,0.9986067193675889,0.007895256916996047
DDQN,50,11,26000,100,1850.1938,1856.2346,1859.0636,0.9984782608695653,0.009387351778656126
DDQN,50,11,27000,100,1954.3142,1963.7203,1967.0636,0.998300395256917,0.010424901185770752
DDQN,50,11,28000,100,2034.119,2046.1804,2049.5828,0.9983399209486166,0.010652173913043479
DDQN,50,11,29000,100,2091.161,2107.0576,2110.4988,0.9983695652173913,0.01108695652173913
DDQN,50,11,30000,100,2141.598,2161.839,2165.0266,0.9985276679841897,0.011126482213438735
DDQN,50,11,31000,100,2156.2463,2179.6467,2183.8115,0.9980928853754941,0.015513833992094862
DDQN,50,11,32000,100,2166.8738,2191.313,2198.591,0.9966897233201581,0.024545454545454544
DDQN,50,11,33000,100,2152.959,2178.4355,2190.666,0.9944169960474308,0.03474308300395257
DDQN,50,11,34000,100,2121.356,2149.433,2167.0781,0.9918577075098814,0.04420948616600791
DDQN,50,11,35000,100,2046.5018,2072.9573,2101.7207,0.9863142292490119,0.05647233201581028
DDQN,50,11,36000,100,1975.4746,2000.2186,2040.7513,0.9801383399209486,0.06476284584980237
DDQN,50,11,37000,100,1866.983,1892.2924,1951.9305,0.9694466403162055,0.07951581027667984
DDQN,50,11,38000,100,1747.2098,1778.0721,1878.7681,0.9464031620553359,0.10514822134387351
DDQN,50,11,39000,100,1625.5266,1657.6455,1781.752,0.9303458498023716,0.12390316205533597
DDQN,50,11,40000,100,1501.6329,1535.3492,1686.2266,0.9105237154150198,0.1465316205533597
DDQN,50,11,41000,100,1380.2706,1412.1339,1576.8112,0.8955632411067194,0.1651284584980237
DDQN,50,11,42000,100,1244.2233,1272.3917,1445.1368,0.8804644268774704,0.19044466403162055
DDQN,50,11,43000,100,1122.5172,1143.8932,1318.699,0.8674407114624506,0.21521739130434783
DDQN,50,11,44000,100,1008.76416,1022.9639,1197.8611,0.8539920948616601,0.23173913043478261
DDQN,50,11,45000,100,923.0874,922.8528,1078.0269,0.8560573122529644,0.2299407114624506
DDQN,50,11,46000,100,845.1886,830.134,954.48047,0.8697233201581027,0.19966403162055335
DDQN,50,11,47000,100,779.2389,747.4181,834.51434,0.8956324110671937,0.1416106719367589
DDQN,50,11,48000,100,727.5924,681.06616,734.6005,0.9271245059288538,0.07041501976284585
DDQN,50,11,49000,100,699.7173,638.6276,657.42804,0.971403162055336,0.015365612648221344
DDQN,50,11,50000,100,694.1132,625.11053,627.6533,0.9959486166007905,0.004861660079051384
DDQN,50,11,51000,100,723.4574,651.7925,652.81177,0.9984387351778656,0.0018972332015810276
DDQN,50,11,52000,100,769.46484,699.5107,701.1735,0.9976284584980237,0.0020454545454545456
DDQN,50,11,53000,100,831.7794,768.2378,772.62006,0.9943280632411067,0.0021047430830039527
DDQN,50,11,54000,100,906.39496,846.3195,848.2222,0.9977569169960474,0.001432806324110672
DDQN,50,11,55000,100,1008.0294,945.20276,946.9057,0.998201581027668,0.0012648221343873518
DDQN,50,11,56000,100,1050.2098,984.10956,988.1715,0.9958893280632412,0.002994071146245059
DDQN,50,11,57000,100,1031.6696,964.3347,973.7159,0.9903656126482213,0.006067193675889328
DDQN,50,11,58000,100,1014.1455,946.28687,962.39655,0.9832608695652174,0.010108695652173913
DDQN,50,11,59000,100,959.6025,891.4444,915.65686,0.9735573122529644,0.015701581027667985
DDQN,50,11,60000,100,886.7868,818.0694,846.76917,0.966106719367589,0.02158102766798419
DDQN,50,11,61000,100,801.27295,733.1874,773.83673,0.9474703557312253,0.03363636363636364
DDQN,50,11,62000,100,734.65204,667.7686,717.69525,0.9304347826086956,0.0475197628458498
DDQN,50,11,63000,100,666.70166,602.7548,658.2864,0.9156422924901185,0.06139328063241107
DDQN,50,11,64000,100,610.2209,547.8113,604.6165,0.9060474308300396,0.06627470355731226
DDQN,50,11,65000,100,556.7807,491.74207,544.7711,0.9026581027667984,0.06450592885375495
DDQN,50,11,66000,100,503.5653,435.4805,481.4357,0.9045454545454545,0.07227272727272727
DDQN,50,11,67000,100,464.60855,391.49133,423.59586,0.924209486166008,0.0658695652173913
DDQN,50,11,68000,100,435.84244,361.0794,386.00577,0.9354249011857707,0.06446640316205533
DDQN,50,11,69000,100,432.43436,357.6711,378.6424,0.9446146245059288,0.0575197628458498
DDQN,50,11,70000,100,441.24863,364.474,384.66507,0.9475098814229249,0.051966403162055336
DDQN,50,11,71000,100,438.05798,357.59537,377.6536,0.9468873517786561,0.04155138339920949
DDQN,50,11,72000,100,419.1751,334.25238,355.6699,0.9397826086956522,0.029782608695652173
DDQN,50,11,73000,100,406.97,320.83545,343.00903,0.9353557312252965,0.02710474308300395
DDQN,50,11,74000,100,389.95517,307.03775,334.09912,0.919001976284585,0.039179841897233204
DDQN,50,11,75000,100,373.55142,289.68408,318.0268,0.9108794466403162,0.04020750988142292
DDQN,50,11,76000,100,349.7226,265.1055,292.92465,0.9050296442687747,0.03912055335968379
DDQN,50,11,77000,100,334.22995,248.29771,274.2573,0.9053458498023715,0.03183794466403162
DDQN,50,11,78000,100,318.8559,231.26337,254.2819,0.9094762845849802,0.020790513833992094
DDQN,50,11,79000,100,297.9033,209.94676,230.98914,0.908903162055336,0.02123517786561265
DDQN,50,11,80000,100,283.33572,196.42282,219.68997,0.894090909090909,0.03134387351778656
DDQN,50,11,81000,100,277.2091,193.57779,224.81407,0.8610573122529644,0.046897233201581026
DDQN,50,11,82000,100,284.18784,202.52348,241.32365,0.8392193675889328,0.07220355731225296
DDQN,50,11,83000,100,266.77954,188.14111,230.7165,0.8154644268774703,0.09206521739130434
DDQN,50,11,84000,100,253.89735,176.23984,221.13564,0.7969762845849803,0.09907114624505929
DDQN,50,11,85000,100,236.8694,159.27309,206.51953,0.7712252964426878,0.1024407114624506
DDQN,50,11,86000,100,222.20306,143.69269,189.32533,0.7589723320158103,0.09903162055335968
DDQN,50,11,87000,100,208.84056,128.75737,170.96243,0.7531324110671936,0.08575098814229248
DDQN,50,11,88000,100,196.76521,115.62403,154.05779,0.7505237154150197,0.07462450592885375
DDQN,50,11,89000,100,189.11766,107.72925,143.39528,0.7512747035573123,0.06563241106719368
DDQN,50,11,90000,100,184.25375,101.9426,135.49146,0.7523913043478261,0.06033596837944664
DDQN,50,11,91000,100,186.11703,101.24713,130.34232,0.7767786561264822,0.0441699604743083
DDQN,50,11,92000,100,184.77948,99.44971,128.49913,0.7739328063241107,0.03870553359683795
DDQN,50,11,93000,100,181.90303,96.26852,125.02885,0.7699703557312253,0.03428853754940712
DDQN,50,11,94000,100,176.29057,90.32941,118.201324,0.764199604743083,0.029950592885375493
DDQN,50,11,95000,100,172.89122,86.4125,112.90064,0.7653853754940712,0.025592885375494073
DDQN,50,11,96000,100,174.92381,88.339325,114.54413,0.7712252964426878,0.02309288537549407
DDQN,50,11,97000,100,179.74348,92.05166,114.563644,0.803498023715415,0.020197628458498023
DDQN,50,11,98000,100,190.5466,100.12891,116.50929,0.8594071146245059,0.014130434782608696
DDQN,50,11,99000,100,201.19026,109.186066,121.46321,0.8989229249011857,0.012816205533596838
DDQN,50,11,100000,100,205.73969,113.2742,124.40285,0.9105434782608696,0.01216403162055336
DDQN,50,12,1000,100,-0.017922701,0.0,,0.0,0.9644268774703557
DDQN,50,12,2000,100,15.766228,0.0,,0.0,0.0
DDQN,50,12,3000,100,28.874104,0.0,,0.0,0.0291699604743083
DDQN,50,12,4000,100,39.53277,0.0,,0.0,0.1331521739130435
DDQN,50,12,5000,100,52.00917,0.0,,0.0,0.16775691699604742
DDQN,50,12,6000,100,68.438065,2.819766,5.4446645,0.517895256916996,0.18032608695652175
DDQN,50,12,7000,100,89.006386,23.962337,34.8864,0.6868675889328063,0.18877470355731224
DDQN,50,12,8000,100,113.79188,51.94311,70.6652,0.7350592885375494,0.19372529644268774
DDQN,50,12,9000,100,143.81387,85.083786,110.97836,0.7666699604743084,0.19204545454545455
DDQN,50,12,10000,100,187.60696,131.52,164.52397,0.7993972332015811,0.18044466403162054
DDQN,50,12,11000,100,234.4482,181.91817,222.13516,0.8189525691699605,0.17289525691699606
DDQN,50,12,12000,100,287.57684,239.92676,288.19687,0.8325098814229249,0.1685079051383399
DDQN,50,12,13000,100,353.70676,308.31042,363.16568,0.8489525691699604,0.15756916996047432
DDQN,50,12,14000,100,417.42627,378.18918,444.54605,0.8507312252964427,0.15803359683794466
DDQN,50,12,15000,100,486.74878,449.27628,520.08966,0.8638438735177866,0.14932806324110673
DDQN,50,12,16000,100,571.67535,536.39056,610.75543,0.8782411067193676,0.13802371541501976
DDQN,50,12,17000,100,664.9978,631.6451,704.20917,0.8969565217391304,0.12547430830039524
DDQN,50,12,18000,100,768.53485,735.4933,802.38794,0.9166304347826087,0.1100691699604743
